                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                 1.0811,                 1.0098,                 1.6839,                0.87816,                0.76166,                  0.826,                0.52813,                 1.2524,                0.95904,                 1.8034,              0.0005215,              0.0005215,              0.0005215
                    148,                   1.07,                 1.0005,                 1.6674,                0.86401,                0.77202,                0.82485,                0.53192,                 1.2484,                0.90083,                 1.7988,              0.0005182,              0.0005182,              0.0005182
                    149,                 1.0802,                 1.0042,                 1.6885,                0.90135,                0.75648,                0.83508,                0.53342,                 1.2434,                0.89169,                 1.8278,              0.0005149,              0.0005149,              0.0005149
                    150,                  1.088,                 1.0169,                  1.688,                0.87687,                  0.738,                0.81408,                0.50635,                 1.3163,                 0.9795,                 1.8571,              0.0005116,              0.0005116,              0.0005116
                    151,                 1.0606,                 0.9731,                  1.654,                0.89959,                0.74277,                0.82375,                0.53185,                 1.2619,                0.97494,                 1.8075,              0.0005083,              0.0005083,              0.0005083
                    152,                 1.0401,                0.93494,                 1.6483,                0.88385,                0.77202,                 0.8359,                0.55201,                 1.2212,                0.87269,                  1.796,               0.000505,               0.000505,               0.000505
                    153,                 1.0765,                0.97811,                 1.6717,                0.89635,                0.76176,                0.81653,                0.52341,                 1.2542,                0.92928,                 1.8195,              0.0005017,              0.0005017,              0.0005017
                    154,                 1.0681,                 1.0011,                 1.6758,                0.84098,                0.79275,                0.82452,                0.52861,                 1.2492,                0.94393,                 1.8075,              0.0004984,              0.0004984,              0.0004984
                    155,                 1.0606,                0.98434,                 1.6681,                0.89965,                0.73575,                0.80916,                0.52868,                 1.1984,                 0.9592,                 1.7602,              0.0004951,              0.0004951,              0.0004951
                    156,                 1.0529,                0.97165,                 1.6608,                0.82509,                0.78756,                0.81653,                0.51654,                 1.2941,                0.97516,                 1.8531,              0.0004918,              0.0004918,              0.0004918
                    157,                 1.0519,                0.95248,                 1.6525,                0.85067,                0.76684,                0.81404,                0.52329,                 1.2397,                0.97252,                 1.8078,              0.0004885,              0.0004885,              0.0004885
                    158,                 1.0396,                0.95721,                 1.6442,                0.88279,                0.77202,                0.81987,                0.53752,                 1.2612,                0.93004,                 1.8154,              0.0004852,              0.0004852,              0.0004852
                    159,                 1.0574,                0.95946,                  1.656,                0.92359,                0.75157,                0.83616,                0.55816,                 1.2019,                0.87422,                 1.7645,              0.0004819,              0.0004819,              0.0004819
                    160,                 1.0487,                0.95344,                  1.651,                 0.9028,                0.72539,                0.80816,                0.53968,                 1.2438,                 0.9517,                 1.7982,              0.0004786,              0.0004786,              0.0004786
                    161,                 1.0406,                0.96279,                 1.6463,                0.88302,                0.74309,                0.83378,                0.54192,                 1.2484,                 0.9075,                 1.7999,              0.0004753,              0.0004753,              0.0004753
                    162,                 1.0437,                0.96206,                 1.6408,                0.89608,                0.75955,                 0.8401,                0.55117,                  1.218,                0.88086,                 1.8022,               0.000472,               0.000472,               0.000472
                    163,                 1.0457,                0.95555,                  1.635,                 0.8809,                0.72021,                0.82903,                0.52676,                 1.2589,                0.95971,                 1.7959,              0.0004687,              0.0004687,              0.0004687
                    164,                 1.0441,                0.96375,                 1.6529,                0.92059,                0.78087,                0.84806,                0.54013,                 1.2699,                0.87075,                 1.7918,              0.0004654,              0.0004654,              0.0004654
                    165,                 1.0461,                0.93561,                  1.644,                0.86095,                0.76997,                0.82696,                0.54317,                 1.2373,                0.88079,                 1.7851,              0.0004621,              0.0004621,              0.0004621
                    166,                 1.0374,                 0.9504,                 1.6412,                0.86294,                0.78295,                 0.8329,                0.53463,                 1.2646,                0.93821,                 1.8048,              0.0004588,              0.0004588,              0.0004588
                    167,                 1.0444,                0.94884,                 1.6335,                0.90091,                0.76684,                0.85673,                0.55966,                 1.2072,                0.85766,                 1.7478,              0.0004555,              0.0004555,              0.0004555
                    168,                 1.0385,                0.93945,                 1.6387,                0.87176,                0.73969,                0.83623,                0.53389,                 1.2358,                 0.9404,                 1.7728,              0.0004522,              0.0004522,              0.0004522
                    169,                 1.0234,                0.93717,                 1.6261,                0.92564,                0.75648,                0.82844,                0.53983,                  1.234,                0.87815,                  1.795,              0.0004489,              0.0004489,              0.0004489
                    170,                 1.0267,                 0.9277,                 1.6254,                0.85832,                0.77202,                0.83539,                0.55415,                 1.1971,                0.89213,                 1.7504,              0.0004456,              0.0004456,              0.0004456
                    171,                 1.0148,                0.92442,                 1.6237,                0.90235,                0.76609,                0.83743,                0.54634,                 1.2249,                0.87102,                 1.7817,              0.0004423,              0.0004423,              0.0004423
                    172,                 1.0298,                0.91453,                 1.6299,                0.85655,                 0.7513,                0.83586,                0.53194,                 1.2652,                0.89926,                  1.789,               0.000439,               0.000439,               0.000439
                    173,                 1.0376,                0.91752,                 1.6354,                0.86741,                0.78238,                0.85198,                 0.5564,                 1.2019,                0.87537,                 1.7518,              0.0004357,              0.0004357,              0.0004357
                    174,                 1.0159,                 0.9288,                 1.6156,                0.86533,                0.76572,                0.84107,                0.54611,                 1.2338,                 0.9081,                 1.7818,              0.0004324,              0.0004324,              0.0004324
                    175,                0.99706,                0.88241,                 1.6103,                0.92894,                0.74506,                0.83889,                 0.5415,                 1.2028,                0.87635,                 1.7888,              0.0004291,              0.0004291,              0.0004291
                    176,                 1.0105,                0.91212,                 1.6206,                0.86258,                0.78057,                0.83132,                0.54255,                 1.2671,                0.90178,                 1.8097,              0.0004258,              0.0004258,              0.0004258
                    177,                   1.01,                0.89825,                 1.6214,                0.91064,                0.72539,                0.81861,                0.54161,                 1.2392,                0.91555,                 1.8001,              0.0004225,              0.0004225,              0.0004225
                    178,                 1.0243,                0.92315,                 1.6288,                0.91073,                 0.7772,                0.85415,                0.55186,                 1.2436,                0.85236,                  1.793,              0.0004192,              0.0004192,              0.0004192
                    179,                 1.0045,                0.89817,                  1.613,                0.87751,                 0.7772,                0.83891,                0.54289,                 1.2366,                 0.8762,                  1.781,              0.0004159,              0.0004159,              0.0004159
                    180,                  1.023,                0.90717,                 1.6289,                0.90612,                0.78756,                0.83753,                0.53973,                 1.2252,                0.89291,                 1.8118,              0.0004126,              0.0004126,              0.0004126
                    181,                 1.0284,                  0.923,                 1.6299,                0.88818,                0.79275,                0.84244,                 0.5379,                 1.2587,                0.93471,                 1.8196,              0.0004093,              0.0004093,              0.0004093
                    182,                  1.003,                0.89367,                 1.6141,                0.88538,                0.80045,                0.83985,                0.54388,                 1.2841,                0.92033,                 1.8119,               0.000406,               0.000406,               0.000406
                    183,                 1.0145,                 0.8999,                 1.6249,                0.86629,                0.76684,                0.83976,                0.54203,                 1.2619,                 0.9207,                 1.8113,              0.0004027,              0.0004027,              0.0004027
                    184,                  1.008,                0.92268,                  1.609,                0.88568,                0.78238,                0.84301,                 0.5477,                 1.2543,                0.83077,                 1.8194,              0.0003994,              0.0003994,              0.0003994
                    185,                 1.0103,                0.90695,                 1.6132,                 0.8981,                 0.7772,                0.84777,                 0.5567,                 1.2123,                0.83685,                 1.7677,              0.0003961,              0.0003961,              0.0003961
                    186,                  0.991,                 0.8865,                 1.5941,                0.85686,                 0.7772,                0.82905,                0.55148,                 1.2314,                0.86114,                 1.7941,              0.0003928,              0.0003928,              0.0003928
                    187,                 1.0146,                0.91208,                 1.6111,                0.90712,                 0.7591,                0.84611,                0.55596,                 1.2146,                0.85263,                 1.7763,              0.0003895,              0.0003895,              0.0003895
                    188,                 1.0042,                0.89028,                 1.6067,                0.88882,                0.76684,                0.83645,                0.53665,                 1.2811,                0.96035,                  1.822,              0.0003862,              0.0003862,              0.0003862
                    189,                0.99247,                0.89687,                 1.6005,                0.91707,                0.74093,                0.84937,                0.55724,                  1.214,                0.86867,                 1.7661,              0.0003829,              0.0003829,              0.0003829
                    190,                0.99095,                0.88048,                 1.6081,                0.93534,                0.74948,                0.84641,                0.56637,                 1.1985,                0.83774,                 1.7901,              0.0003796,              0.0003796,              0.0003796
                    191,                0.99131,                0.88097,                 1.5985,                 0.9043,                0.78336,                0.85661,                0.54655,                 1.2582,                0.86078,                 1.8202,              0.0003763,              0.0003763,              0.0003763
                    192,                0.99899,                0.86953,                  1.607,                0.85268,                0.79275,                0.84003,                0.53497,                 1.2896,                0.94406,                 1.8295,               0.000373,               0.000373,               0.000373
                    193,                0.99255,                0.89682,                 1.6101,                0.84925,                0.79275,                0.83329,                0.52962,                 1.2529,                0.92909,                 1.7949,              0.0003697,              0.0003697,              0.0003697
                    194,                0.98629,                0.90592,                 1.5898,                0.89699,                0.78238,                0.84808,                0.54921,                 1.2272,                0.85199,                 1.7853,              0.0003664,              0.0003664,              0.0003664
                    195,                0.98672,                0.87138,                 1.5983,                0.84767,                0.77851,                 0.8279,                 0.5422,                 1.2346,                0.85401,                 1.8342,              0.0003631,              0.0003631,              0.0003631
                    196,                0.98374,                0.86436,                 1.5918,                0.89381,                0.78238,                0.84485,                0.54202,                 1.2582,                0.80843,                 1.8356,              0.0003598,              0.0003598,              0.0003598
                    197,                 0.9923,                0.87244,                 1.5916,                0.86522,                0.75648,                0.81998,                0.51449,                 1.2881,                0.97239,                 1.8557,              0.0003565,              0.0003565,              0.0003565
                    198,                0.98176,                0.86029,                 1.5932,                0.91461,                0.77202,                0.85672,                0.54745,                 1.2373,                0.87548,                 1.8027,              0.0003532,              0.0003532,              0.0003532
                    199,                0.99903,                0.87496,                 1.5998,                 0.8311,                0.81347,                0.83926,                0.53574,                 1.2241,                0.92125,                  1.808,              0.0003499,              0.0003499,              0.0003499
                    200,                0.97987,                0.87527,                 1.5983,                0.85908,                0.76684,                0.82224,                0.51552,                 1.3005,                0.97992,                 1.8332,              0.0003466,              0.0003466,              0.0003466
                    201,                0.96295,                0.86051,                 1.5879,                0.88739,                0.81662,                0.85411,                0.54898,                 1.2359,                0.85323,                 1.8048,              0.0003433,              0.0003433,              0.0003433
                    202,                0.99024,                0.87224,                 1.5959,                0.90595,                0.79861,                0.85388,                0.55487,                 1.2149,                 0.8781,                 1.7841,                0.00034,                0.00034,                0.00034
                    203,                0.99132,                0.86346,                 1.5931,                0.89328,                0.73575,                0.82025,                0.51559,                  1.272,                0.95931,                  1.825,              0.0003367,              0.0003367,              0.0003367
                    204,                0.97021,                0.86341,                 1.5747,                0.90036,                0.74912,                 0.8296,                0.53388,                 1.2369,                0.90446,                 1.7998,              0.0003334,              0.0003334,              0.0003334
                    205,                0.96397,                0.83966,                 1.5751,                0.81652,                0.80701,                0.82232,                0.52698,                 1.2586,                0.92894,                 1.8122,              0.0003301,              0.0003301,              0.0003301
                    206,                0.96518,                 0.8642,                 1.5769,                0.86614,                0.73757,                0.81571,                0.51743,                 1.2783,                0.95536,                 1.8251,              0.0003268,              0.0003268,              0.0003268
                    207,                0.94724,                 0.8531,                 1.5788,                0.87085,                0.76861,                0.83936,                0.53514,                 1.2746,                0.88548,                 1.8287,              0.0003235,              0.0003235,              0.0003235
                    208,                0.98136,                 0.8718,                 1.5972,                  0.883,                0.78238,                0.83846,                0.53607,                   1.27,                0.89628,                 1.8339,              0.0003202,              0.0003202,              0.0003202
                    209,                0.96232,                0.86198,                 1.5803,                0.84025,                0.79793,                  0.842,                0.54781,                 1.2401,                0.85386,                 1.7814,              0.0003169,              0.0003169,              0.0003169
                    210,                0.97683,                0.86209,                 1.5868,                0.84821,                0.81068,                0.84099,                0.56541,                 1.2244,                0.83472,                 1.7712,              0.0003136,              0.0003136,              0.0003136
                    211,                0.96223,                0.85971,                 1.5855,                0.83994,                0.80311,                0.83636,                0.55307,                 1.2177,                0.87067,                 1.7721,              0.0003103,              0.0003103,              0.0003103
                    212,                0.97731,                0.85798,                  1.582,                0.85562,                0.76684,                0.82549,                 0.5332,                 1.2698,                0.92048,                 1.8232,               0.000307,               0.000307,               0.000307
                    213,                0.97296,                0.83633,                 1.5809,                 0.8912,                0.75648,                0.82513,                 0.5345,                  1.238,                0.89983,                 1.7947,              0.0003037,              0.0003037,              0.0003037
                    214,                0.96352,                0.84066,                 1.5701,                 0.8909,                 0.7513,                0.83126,                0.54207,                 1.2574,                0.89562,                 1.8342,              0.0003004,              0.0003004,              0.0003004
                    215,                0.97795,                0.85234,                 1.5893,                0.87722,                0.77742,                0.82637,                0.54115,                 1.2617,                0.87056,                 1.8129,              0.0002971,              0.0002971,              0.0002971
                    216,                 0.9616,                0.84232,                 1.5655,                0.84999,                0.79275,                0.83853,                 0.5397,                  1.252,                0.89664,                 1.8122,              0.0002938,              0.0002938,              0.0002938
                    217,                0.94452,                0.81954,                 1.5527,                0.86139,                0.77277,                0.83177,                0.54526,                 1.2558,                0.89241,                 1.8212,              0.0002905,              0.0002905,              0.0002905
                    218,                0.97588,                0.86829,                 1.5803,                0.85548,                 0.7513,                0.82265,                0.52964,                 1.2488,                0.93449,                 1.7971,              0.0002872,              0.0002872,              0.0002872
                    219,                0.92958,                0.81272,                  1.541,                0.88967,                0.74611,                0.83025,                0.53554,                 1.2109,                0.88429,                 1.7639,              0.0002839,              0.0002839,              0.0002839
                    220,                0.95052,                0.83447,                 1.5613,                0.85948,                0.81865,                0.83617,                0.54555,                 1.2392,                0.82153,                 1.8167,              0.0002806,              0.0002806,              0.0002806
                    221,                0.93382,                0.82134,                 1.5381,                0.84007,                0.78931,                0.82707,                 0.5391,                 1.2111,                0.88429,                 1.7698,              0.0002773,              0.0002773,              0.0002773
                    222,                0.94071,                 0.8068,                 1.5588,                0.82534,                0.78347,                0.83459,                0.53619,                  1.241,                 0.8985,                 1.7933,               0.000274,               0.000274,               0.000274
                    223,                0.94133,                0.82373,                 1.5648,                0.86206,                0.77713,                 0.8425,                0.54549,                 1.2646,                0.86023,                 1.8432,              0.0002707,              0.0002707,              0.0002707
                    224,                0.94687,                0.80551,                 1.5615,                0.89103,                0.76258,                0.82789,                0.55271,                 1.2536,                0.88817,                 1.8249,              0.0002674,              0.0002674,              0.0002674
                    225,                 0.9513,                 0.8373,                 1.5741,                0.86731,                0.78238,                0.82329,                0.54515,                 1.2491,                 0.8825,                 1.8292,              0.0002641,              0.0002641,              0.0002641
                    226,                0.91902,                0.79688,                 1.5339,                0.87723,                0.77748,                0.83828,                0.54909,                 1.2433,                0.84588,                 1.8114,              0.0002608,              0.0002608,              0.0002608
                    227,                0.94262,                0.82443,                  1.553,                0.87841,                0.78604,                 0.8497,                0.55455,                 1.2562,                0.85118,                 1.8165,              0.0002575,              0.0002575,              0.0002575
                    228,                0.94401,                0.81448,                 1.5631,                0.87437,                0.75732,                0.83672,                 0.5437,                 1.2671,                0.90968,                 1.8431,              0.0002542,              0.0002542,              0.0002542
                    229,                0.92489,                0.79878,                 1.5451,                0.87345,                0.78679,                0.85502,                0.55368,                  1.248,                0.87219,                 1.8323,              0.0002509,              0.0002509,              0.0002509
                    230,                0.93797,                0.80156,                 1.5505,                0.90117,                0.79275,                0.86815,                0.55103,                 1.2662,                0.86471,                 1.8401,              0.0002476,              0.0002476,              0.0002476
                    231,                0.94081,                 0.8097,                 1.5549,                0.85567,                0.81347,                0.85906,                0.56706,                 1.2191,                0.84783,                 1.7863,              0.0002443,              0.0002443,              0.0002443
                    232,                0.94244,                0.82456,                 1.5576,                0.89441,                0.75648,                0.84898,                0.55864,                 1.2205,                0.88732,                 1.7904,               0.000241,               0.000241,               0.000241
                    233,                0.91141,                0.78505,                 1.5398,                0.84141,                0.79723,                0.84495,                0.55973,                 1.2304,                0.88815,                 1.7854,              0.0002377,              0.0002377,              0.0002377
                    234,                0.90192,                0.77292,                 1.5347,                0.87255,                0.76166,                0.83308,                0.55684,                 1.2128,                0.87562,                 1.7817,              0.0002344,              0.0002344,              0.0002344
                    235,                0.91757,                0.78591,                 1.5391,                0.89294,                0.75648,                0.83348,                0.55098,                  1.221,                0.89803,                 1.7769,              0.0002311,              0.0002311,              0.0002311
                    236,                0.91806,                0.81935,                 1.5369,                0.85943,                0.78238,                0.83949,                0.56004,                 1.2327,                0.84794,                 1.8052,              0.0002278,              0.0002278,              0.0002278
                    237,                0.91617,                0.79536,                 1.5423,                0.86656,                0.78756,                 0.8449,                0.56013,                 1.2148,                0.85066,                 1.8013,              0.0002245,              0.0002245,              0.0002245
                    238,                0.93113,                0.78761,                 1.5382,                0.86422,                0.79275,                0.84398,                0.54705,                 1.2569,                0.88286,                 1.8236,              0.0002212,              0.0002212,              0.0002212
                    239,                0.90645,                0.77682,                  1.521,                0.87249,                0.77202,                0.84013,                0.54295,                 1.2459,                0.89803,                 1.8149,              0.0002179,              0.0002179,              0.0002179
                    240,                0.90574,                0.77807,                 1.5279,                0.89318,                0.78238,                0.84977,                0.54084,                 1.2779,                0.91954,                  1.838,              0.0002146,              0.0002146,              0.0002146
                    241,                0.89581,                0.75942,                 1.5216,                0.84831,                0.77202,                0.84288,                0.53329,                 1.3188,                0.93545,                 1.8743,              0.0002113,              0.0002113,              0.0002113
                    242,                0.91874,                0.79102,                  1.536,                0.87745,                 0.7513,                0.83603,                0.54517,                 1.2888,                0.89427,                 1.8498,               0.000208,               0.000208,               0.000208
                    243,                0.91596,                0.79174,                  1.532,                0.85921,                0.79275,                0.85615,                0.55636,                 1.3197,                0.86974,                 1.8804,              0.0002047,              0.0002047,              0.0002047
                    244,                0.93119,                0.79083,                 1.5443,                0.88874,                0.76166,                0.85487,                 0.5617,                 1.2651,                0.83671,                 1.8249,              0.0002014,              0.0002014,              0.0002014
                    245,                0.91758,                0.79946,                 1.5322,                0.88469,                0.75532,                0.83878,                0.53503,                 1.3501,                0.92464,                 1.8991,              0.0001981,              0.0001981,              0.0001981
                    246,                0.89664,                0.78516,                 1.5164,                0.90476,                0.78757,                0.85981,                0.54955,                 1.3112,                0.89157,                 1.8762,              0.0001948,              0.0001948,              0.0001948
                    247,                0.91835,                 0.7756,                 1.5362,                0.90505,                0.79018,                0.85178,                0.54641,                 1.3087,                0.89508,                 1.8711,              0.0001915,              0.0001915,              0.0001915
                    248,                0.92543,                0.80118,                 1.5378,                0.89665,                0.76418,                0.84894,                0.53932,                 1.2991,                0.89528,                 1.8564,              0.0001882,              0.0001882,              0.0001882
                    249,                0.89748,                0.76747,                 1.5157,                0.88834,                0.79793,                0.85536,                0.54722,                 1.3058,                0.89513,                 1.8736,              0.0001849,              0.0001849,              0.0001849
                    250,                0.90924,                0.78241,                 1.5272,                0.89174,                 0.7772,                0.84743,                0.54016,                 1.3162,                0.88715,                 1.8898,              0.0001816,              0.0001816,              0.0001816
                    251,                 0.9017,                0.78306,                 1.5194,                0.84346,                0.81347,                0.84547,                0.54758,                  1.279,                0.87159,                 1.8503,              0.0001783,              0.0001783,              0.0001783
                    252,                0.90529,                0.78222,                 1.5188,                0.85551,                0.79275,                0.83171,                0.53788,                 1.3061,                0.87926,                  1.866,               0.000175,               0.000175,               0.000175
                    253,                0.89293,                 0.7483,                 1.5174,                0.88822,                0.78227,                0.85307,                0.55401,                 1.2631,                0.84926,                 1.8322,              0.0001717,              0.0001717,              0.0001717
                    254,                0.91656,                0.77681,                 1.5246,                0.86529,                0.79879,                0.85204,                0.54829,                 1.2751,                0.84345,                 1.8554,              0.0001684,              0.0001684,              0.0001684
                    255,                0.90164,                0.76877,                  1.529,                0.85182,                0.78238,                0.83464,                0.53717,                 1.2935,                0.88013,                 1.8633,              0.0001651,              0.0001651,              0.0001651
                    256,                0.88882,                0.75041,                 1.5137,                0.88455,                0.79793,                0.85437,                0.54638,                  1.305,                0.85581,                 1.8785,              0.0001618,              0.0001618,              0.0001618
                    257,                0.89795,                0.77031,                 1.5106,                0.85234,                0.78238,                 0.8415,                0.53514,                 1.2925,                0.87842,                   1.86,              0.0001585,              0.0001585,              0.0001585
                    258,                 0.9056,                0.76442,                 1.5374,                0.89418,                0.77202,                0.84444,                0.53837,                 1.2962,                0.87236,                 1.8696,              0.0001552,              0.0001552,              0.0001552
                    259,                0.88749,                0.75483,                 1.5087,                 0.9143,                 0.7513,                 0.8452,                0.54605,                 1.2957,                0.85816,                 1.8785,              0.0001519,              0.0001519,              0.0001519
                    260,                0.86935,                0.73589,                 1.4918,                0.88258,                0.77888,                0.84584,                0.54912,                 1.2844,                0.86035,                 1.8496,              0.0001486,              0.0001486,              0.0001486
                    261,                0.89876,                0.75037,                 1.5159,                0.85636,                0.77202,                 0.8376,                0.55687,                 1.2706,                0.86497,                 1.8444,              0.0001453,              0.0001453,              0.0001453
                    262,                0.88226,                0.72545,                 1.5068,                0.88224,                0.78238,                0.85513,                0.55428,                 1.2611,                0.85838,                 1.8325,               0.000142,               0.000142,               0.000142
                    263,                 0.8975,                0.75571,                 1.5119,                0.89131,                0.76484,                0.84076,                0.53964,                 1.3175,                0.86912,                 1.8723,              0.0001387,              0.0001387,              0.0001387
                    264,                0.88457,                 0.7454,                 1.5098,                0.87932,                0.77202,                0.84216,                 0.5399,                 1.3337,                0.86796,                 1.9045,              0.0001354,              0.0001354,              0.0001354
                    265,                0.87692,                0.73047,                 1.4921,                0.85642,                0.77202,                0.83698,                0.54959,                 1.3024,                 0.8452,                 1.8641,              0.0001321,              0.0001321,              0.0001321
                    266,                 0.8659,                0.76131,                 1.4918,                0.88231,                0.75648,                0.84128,                0.54545,                 1.2946,                 0.8671,                 1.8595,              0.0001288,              0.0001288,              0.0001288
                    267,                 0.9036,                0.74648,                  1.512,                0.89518,                0.75226,                0.84889,                 0.5568,                  1.289,                0.85611,                 1.8631,              0.0001255,              0.0001255,              0.0001255
                    268,                 0.8695,                 0.7272,                 1.4963,                0.85431,                0.78996,                0.84092,                0.55292,                 1.2783,                0.85843,                 1.8521,              0.0001222,              0.0001222,              0.0001222
                    269,                0.86625,                0.71883,                 1.4887,                0.86996,                0.79725,                0.84278,                 0.5447,                 1.2979,                0.86711,                 1.8744,              0.0001189,              0.0001189,              0.0001189
                    270,                0.87532,                0.74323,                 1.5013,                0.87623,                0.77029,                0.84054,                0.54651,                 1.2823,                0.87683,                 1.8571,              0.0001156,              0.0001156,              0.0001156
                    271,                0.87816,                0.73977,                 1.5047,                0.87667,                 0.7513,                0.83311,                0.54629,                 1.2991,                0.88349,                 1.8628,              0.0001123,              0.0001123,              0.0001123
                    272,                0.85534,                0.72512,                 1.4764,                0.83193,                0.79275,                0.83095,                0.54395,                 1.2872,                0.89513,                 1.8592,               0.000109,               0.000109,               0.000109
                    273,                0.86709,                 0.7339,                 1.4953,                0.86577,                 0.7772,                0.83842,                0.55059,                   1.27,                0.88909,                  1.846,              0.0001057,              0.0001057,              0.0001057
                    274,                0.84787,                0.71635,                 1.4755,                0.85354,                0.81529,                0.84549,                  0.545,                 1.2824,                0.89082,                 1.8648,              0.0001024,              0.0001024,              0.0001024
                    275,                0.87337,                0.73826,                 1.4894,                0.84376,                0.81145,                0.83787,                0.54388,                 1.2758,                0.88414,                 1.8618,               9.91e-05,               9.91e-05,               9.91e-05
                    276,                0.86343,                0.71354,                 1.4897,                0.87261,                 0.7513,                0.84111,                0.55127,                 1.2728,                0.88144,                 1.8557,               9.58e-05,               9.58e-05,               9.58e-05
                    277,                 0.8589,                0.72641,                 1.4861,                0.85302,                0.78238,                0.84287,                0.55373,                 1.2836,                  0.905,                 1.8662,               9.25e-05,               9.25e-05,               9.25e-05
                    278,                0.85996,                0.71459,                 1.4807,                0.84154,                0.79796,                0.83911,                0.54547,                 1.2937,                0.90565,                 1.8701,               8.92e-05,               8.92e-05,               8.92e-05
                    279,                0.85026,                0.72307,                 1.4801,                0.84089,                0.80311,                0.84276,                0.54956,                 1.2894,                0.89609,                 1.8662,               8.59e-05,               8.59e-05,               8.59e-05
                    280,                0.87086,                0.72632,                 1.4938,                0.83114,                0.79058,                0.83161,                0.54584,                 1.3011,                0.88643,                 1.8821,               8.26e-05,               8.26e-05,               8.26e-05
                    281,                0.86836,                0.72725,                 1.4917,                0.84864,                0.78436,                0.84669,                 0.5522,                 1.3134,                0.88596,                 1.8859,               7.93e-05,               7.93e-05,               7.93e-05
                    282,                0.84981,                0.71892,                 1.4893,                 0.8538,                0.77202,                0.84568,                0.54582,                 1.3078,                0.87914,                 1.8849,                7.6e-05,                7.6e-05,                7.6e-05
                    283,                0.85062,                0.73599,                 1.4733,                0.84609,                0.79793,                0.84264,                0.54884,                 1.2922,                0.86612,                 1.8708,               7.27e-05,               7.27e-05,               7.27e-05
                    284,                0.84224,                 0.7098,                 1.4723,                0.89232,                 0.7513,                0.84889,                0.55086,                  1.284,                0.85131,                 1.8623,               6.94e-05,               6.94e-05,               6.94e-05
                    285,                0.86784,                0.72447,                 1.5036,                0.87449,                0.75814,                0.84867,                0.55377,                 1.2788,                0.86037,                 1.8556,               6.61e-05,               6.61e-05,               6.61e-05
                    286,                0.84021,                0.72018,                 1.4659,                0.89208,                0.74611,                0.84459,                 0.5422,                 1.2903,                0.87578,                 1.8707,               6.28e-05,               6.28e-05,               6.28e-05
                    287,                0.84252,                0.70129,                 1.4658,                0.87287,                0.74705,                0.83592,                0.54566,                 1.2797,                0.85677,                 1.8656,               5.95e-05,               5.95e-05,               5.95e-05
                    288,                0.85672,                 0.7002,                 1.4731,                0.86069,                 0.7772,                0.83666,                0.54843,                 1.2865,                0.85566,                 1.8704,               5.62e-05,               5.62e-05,               5.62e-05
                    289,                0.84845,                0.72374,                 1.4624,                0.87009,                 0.7635,                0.84367,                0.54897,                 1.2916,                0.86873,                  1.876,               5.29e-05,               5.29e-05,               5.29e-05
                    290,                 0.8548,                0.72074,                 1.4774,                0.83397,                0.80679,                0.83663,                0.54735,                 1.2941,                0.86753,                 1.8785,               4.96e-05,               4.96e-05,               4.96e-05
                    291,                0.75079,                0.60116,                 1.4618,                0.84455,                0.80311,                0.84377,                 0.5512,                 1.2766,                0.88404,                 1.8741,               4.63e-05,               4.63e-05,               4.63e-05
                    292,                0.71972,                0.52739,                 1.4207,                0.86069,                 0.7513,                0.83882,                0.56068,                   1.26,                0.86181,                 1.8659,                4.3e-05,                4.3e-05,                4.3e-05
                    293,                0.72556,                0.50807,                 1.4317,                0.85159,                0.77301,                0.83977,                0.54941,                 1.2733,                0.85509,                 1.8875,               3.97e-05,               3.97e-05,               3.97e-05
                    294,                0.71642,                0.49197,                 1.4184,                0.80485,                0.79067,                0.82896,                0.54099,                 1.2903,                0.86282,                 1.9036,               3.64e-05,               3.64e-05,               3.64e-05
                    295,                0.69714,                0.49555,                 1.3998,                0.78595,                0.79905,                0.83061,                0.54127,                 1.2783,                0.87316,                 1.8833,               3.31e-05,               3.31e-05,               3.31e-05
                    296,                0.69349,                0.49358,                 1.3951,                0.80338,                0.78334,                0.83017,                0.53959,                 1.2929,                0.87616,                 1.8955,               2.98e-05,               2.98e-05,               2.98e-05
                    297,                0.70134,                0.47915,                 1.4052,                0.80411,                 0.8082,                0.82972,                0.54313,                 1.3011,                0.86609,                 1.9092,               2.65e-05,               2.65e-05,               2.65e-05
                    298,                0.69178,                0.47355,                 1.3945,                0.80529,                0.80829,                0.82823,                0.53868,                 1.3021,                0.86648,                  1.911,               2.32e-05,               2.32e-05,               2.32e-05
                    299,                0.67976,                0.46877,                   1.38,                0.81374,                0.80829,                0.82909,                0.53987,                 1.3081,                0.86228,                 1.9208,               1.99e-05,               1.99e-05,               1.99e-05
                    300,                0.67156,                0.46971,                 1.3687,                0.81776,                0.80829,                0.82981,                0.54277,                 1.3027,                0.86455,                 1.9169,               1.66e-05,               1.66e-05,               1.66e-05
