                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3702,                 1.4234,                 1.9654,                0.78079,                0.76166,                0.74737,                0.44935,                 1.4676,                 1.3203,                  2.105,              0.0008944,              0.0008944,              0.0008944
                     35,                 1.3463,                 1.4042,                 1.9498,                0.82882,                0.67735,                0.75249,                 0.4397,                  1.477,                 1.3838,                 2.0776,              0.0008911,              0.0008911,              0.0008911
                     36,                 1.3562,                 1.3902,                 1.9595,                0.77767,                0.70683,                0.74535,                0.45464,                 1.4493,                 1.3324,                 2.0879,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.3218,                 1.3967,                 1.9355,                0.69745,                0.64767,                0.66209,                0.36019,                 1.5509,                 1.8312,                 2.1531,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.3222,                 1.3822,                 1.9294,                0.86761,                0.70984,                0.77613,                0.47634,                 1.3325,                  1.248,                 1.9755,              0.0008812,              0.0008812,              0.0008812
                     39,                  1.322,                 1.3715,                 1.9353,                0.83464,                0.73575,                0.79246,                0.47111,                  1.397,                   1.24,                 1.9797,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.3475,                 1.3973,                 1.9437,                0.82491,                0.72021,                0.76555,                0.46536,                 1.4037,                 1.2969,                 1.9919,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.3028,                 1.3329,                  1.906,                0.91704,                0.72539,                0.78633,                0.47696,                 1.3564,                  1.121,                 1.9804,              0.0008713,              0.0008713,              0.0008713
                     42,                  1.345,                 1.3467,                 1.9346,                0.79729,                0.69948,                0.76601,                0.46002,                 1.4386,                 1.3187,                 2.0028,               0.000868,               0.000868,               0.000868
                     43,                 1.3031,                  1.362,                 1.9064,                0.84932,                0.66839,                0.75591,                0.44348,                 1.4825,                 1.3116,                 2.0459,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.2791,                 1.3148,                  1.892,                0.85853,                0.75463,                 0.7803,                0.48968,                 1.3076,                 1.1071,                 1.9199,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.3249,                  1.365,                 1.9256,                0.81335,                0.67734,                0.74735,                0.42677,                 1.5724,                 1.4234,                  2.125,              0.0008581,              0.0008581,              0.0008581
                     46,                 1.2801,                 1.3107,                  1.882,                0.90773,                0.72539,                0.80022,                0.48029,                 1.3939,                 1.0888,                 2.0003,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.2866,                 1.3139,                 1.8974,                0.86288,                0.66839,                0.75725,                0.46032,                 1.3938,                 1.2543,                 1.9915,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.2916,                  1.302,                 1.8944,                0.75279,                0.67358,                0.73105,                0.45425,                  1.332,                 1.3501,                 1.9241,              0.0008482,              0.0008482,              0.0008482
                     49,                 1.2607,                 1.3273,                 1.8812,                0.88633,                0.76766,                0.81822,                0.50413,                 1.3644,                  1.017,                 1.9817,              0.0008449,              0.0008449,              0.0008449
